id,energy
random1719469,-199.6496855
random1252132,-3.65916146
random2138036,-200.2685464
random1902440,-694.3141438700001
random1165257,-365.13093347999995
random2249477,-160.27835542
random709257,-221.3181368
random2480284,-234.38660646
random856407,-1086.68661137
random2025362,-709.0585560100001
random2402553,-139.52655457
random1031907,-121.30073257000001
random244680,-282.84754553
random671043,-433.72433437999996
random466748,-441.56345306
random292075,-68.51846038000001
random518695,-469.00869468999997
random1182642,-133.54538765
random2094504,-219.85108574
random2200575,-248.61416735
random1596943,-560.51863904
random223033,-141.29993997
random592482,-502.04429389999996
random1731602,-48.673873930000006
random1659729,-436.49643741
random2299287,-215.62798872
random865162,-49.56896313
random1534959,-367.65888450999995
random2251491,-766.26244189
random1031692,-323.93307061999997
random1025204,-51.02750959
random856022,-147.45894817
random1751613,-225.73791058
random1047274,-335.38344512
random2084099,-137.82129287
random550519,-433.93479305
random853264,-456.27122176999995
random1411166,-642.81291553
random971561,-122.30279057
random1225189,-451.21293631
random348193,-152.28874105
random2010333,-510.32825277999996
random1309180,-309.99056781999997
random1536724,-460.18746741999996
random581741,-904.22161922
random174543,-202.80251256
random1378228,-243.55815273
random196814,-227.14566727
random1448331,-341.16894811
random2129790,-499.28964399
random2284670,-132.98688161
random1019244,-184.49394605
random282542,-286.16827727
random1343568,-95.10065632
random941423,-153.49312514
random416197,-435.1276433
random1545327,-387.12154465
random497960,-39.345451080000004
random978522,-159.33797567
random13579,-224.33017886
random960634,-52.135350030000005
random788370,-967.9362478500001
random536943,-128.79163789999998
random368286,-64.71496026
random1944578,-323.84657422
random2352036,-1066.32670462
random2210160,-536.7643368700001
random5281,-337.06969172
random900474,-265.32630211
random1069765,-166.2279955
random952795,-383.28764801
random2029687,-560.20759625
random217313,-327.87982189999997
random1988554,-482.81695397
random2333019,-323.24476065
random1210711,-880.56258026
random1479668,-320.72744387
random1851550,-195.68368153
random1670051,-500.46747221
random1425487,-585.05026544
random1899358,-306.69967389
random245382,-70.48415656
random50884,-102.17516613000001
random888471,-312.03672281999997
random57248,-63.96854699
random1437878,-189.73485177
random1227127,-165.27431112
random497465,-438.45858327999997
random1202717,-114.03408271
random1398839,-366.03017188999996
random1091980,-233.76970093
random1815402,-404.26179969
random596052,-410.79675411
random889684,-77.80691618
random191430,-381.26400735
random1920480,-317.57404839
random1390667,-463.07809855
random1876604,-211.31543308
random767694,-240.74757173
random1181565,-98.2414369
random1810626,-336.14372405999995
random1253173,-88.65239273
random1418133,-240.12560888000002
random2248216,-134.46040575
random790331,-921.21460946
random2001423,-232.65554944000002
random1067776,-308.28604108999997
random1223745,-152.85985304
random2333552,-324.15399285999996
random17743,-67.74338405
random865443,-397.9468801
random717954,-431.71433052
random219938,-362.28655363999997
random2307130,-239.81393219
random1587353,-396.48333299999996
random1573454,-112.9254856
random1162257,-505.51153172
random315945,-257.66654179
random1865141,-77.93875005
random156304,-269.25295221
random1547787,-164.88579649
random1595491,-1005.58473486
random2252681,-124.89528133
random1762811,-30.73583416
random378033,-400.27990272
random2253261,-160.99667434
random960729,-964.0830601600001
random1091438,-526.76085447
random579595,-225.96920994
random1662566,-541.30107449
random1792820,-303.08882533999997
random591699,-435.07437431
random913197,-101.71011029
random872226,-229.20028405
random2038053,-327.43429728999996
random469484,-94.30467165
random915787,-67.8853948
random1838094,-1720.82666638
random1965338,-100.56978731000001
random2161708,-277.53752741999995
random2374407,-227.19591924
random78060,-659.59726716
random185577,-332.91877129
random2398153,-298.17061383
random178716,-361.22214195
random1173711,-537.2582144400001
random1046219,-66.83372959
random720293,-571.75225938
random1400705,-466.28220616
random2138929,-135.46655111
random834250,-552.33099469
random1015680,-443.08648598999997
random2170350,-1380.23178921
random2275030,-11.98284455
random2018422,-144.80835162
random479042,-641.9661008400001
random2374952,-136.79696715
random914571,-737.02047572
random2285985,-797.41881859
random1968486,-165.49392255
random827218,-357.62544655
random450396,-1097.12775564
random818748,-288.27018209
random324158,-212.37998194
random670023,-16.43196968
random1518012,-242.50030146
random1352617,-76.41960529
random1611228,-9.204741760000001
random1800939,-37.04467563
random1111042,-171.67434395
random2057563,-99.49791299
random562795,-167.62889244000002
random1020982,-65.80313139
random2487729,-432.70741359
random1425782,-66.87265015
random1748025,-540.26259495
random1854635,-907.76730835
random674439,-395.49830348999996
random2269460,-16.12662312
random1291373,-360.65967602999996
random484418,-488.09525938999997
random1777584,-435.13675732999997
random781082,-579.24683769
random1437856,-1236.95862049
random1417157,-332.41811822
random1092307,-107.31573133
random1588064,-106.9837089
random228291,-78.5704937
random439080,-641.80398438
random1320648,-388.69009052999996
random1835576,-372.03200115
random491819,-28.8228951
random722096,-523.96208019
random1264355,-111.2838093
random1438166,-741.25064062
random1732675,-296.94487148999997
random2367562,-318.20106499999997
random76151,-352.25128887999995
random594756,-330.83477689999995
random805546,-690.94014988
random67785,-492.86406994
random132373,-98.87552658
random1194100,-363.66048895999995
random144933,-112.78746845
random284705,-523.52640596
random1231463,-492.52050705
random250937,-215.25956609
random768456,-183.32819474000001
random1768535,-503.45734419999997
random1431121,-22.74710911
random1803676,-127.21556565
random2390729,-443.24443885
random1614852,-207.85812742000002
random1475174,-967.3585533500001
random2160320,-537.89802932
random1298174,-530.39047643
random836068,-11.89794165
random1105332,-335.49671625999997
random465253,-75.4390753
random890873,-169.47332536
random657497,-114.76246455
random1572807,-225.09413214
random706509,-229.94819718
random1138188,-200.97725098
random655314,-165.75856136000002
random793755,-531.98674967
random1847643,-258.63013688999996
random2419632,-96.23463360000001
random877477,-165.37128384
random682247,-94.90486333
random2285818,-417.95886778
random1407977,-95.35976773
random1012095,-302.45014366
random487006,-136.71125714000001
random1336357,-189.91001724
random2378038,-104.17443361000001
random612253,-605.43846255
random483671,-274.25314396
random1314927,-600.2095557
random1567758,-133.02558976
random1953840,-113.92963373
random118286,-158.43305117
random740673,-717.38736079
random1063138,-656.85617
random2255173,-443.91552855
random1919012,-552.0145374800001
random1421260,-686.44754572
random1638035,-387.74391331
random2163710,-180.61213109
random476986,-518.2283
random1146385,-250.44825259
random903547,-593.69313271
random902036,-661.04016054
random2464124,-347.60030831
random1915749,-692.18886304
random1642412,-743.6345987000001
random1490666,-60.52032959
random1428098,-292.84727074999995
random1002889,-677.12824158
random1930528,-351.90918272
random1784859,-982.23894972
random1757259,-668.2520680900001
random748547,-175.98300728
random621779,-458.26572410999995
random2267450,-105.54760757
random1405754,-98.64357946
random632992,-702.9345279300001
random527735,-15.685668799999998
random510377,-322.40364178
random1932790,-105.03502104
random1561969,-887.04941249
random534486,-146.09640779
random1882801,-97.71707740000001
random1589850,-477.03873090999997
random658262,-488.89307173
random1611478,-1786.78348321
random744025,-729.61013068
random2143849,-205.14106843
random691019,-820.98185312
random397706,-258.07615466
random2186737,-97.30852848
random1695324,-328.65675152999995
random1813639,-251.37181382
random1687897,-522.34179942
random2264221,-199.72021835
random900181,-403.93561640999997
random762210,-425.96339415
random166794,-119.9978771
random634625,-515.52719405
random978266,-192.91286853
random1960643,-432.45703204999995
random1298058,-387.64905302999995
random2152498,-266.06167909
random1446392,-367.26835990999996
random1999321,-207.63391884
random889000,-177.41040359000002
random2092659,-199.63935641
random1238267,-290.31696266
random656154,-252.59896774
random1216485,-1060.41681766
random636246,-52.55701553
random2153631,-392.27175967
random477857,-105.08066938
random792584,-522.12142357
random1993075,-752.22634937
random2248478,-356.90482879999996
random1410129,-558.65282761
random1735609,-374.902605
random1289355,-496.29641531
random1575477,-235.37987255000002
random592904,-206.52545608
random1921388,-762.17273083
random2103207,-610.22979477
random1381360,-1293.4339444
random771900,-797.73720072
random1600075,-568.08990093
random1495958,-313.99962010999997
random532019,-357.81995008999996
random699460,-450.78949358999995
random982228,-127.59283336
random1459432,-397.31358859999995
random520628,-423.43820898999996
random2019673,-88.67825514
random1387391,-610.46595297
random675889,-116.87664720000001
random1038882,-207.13989882
random783670,-583.96200694
